;tipoequipamento;modelo;cidade;estabelecimento;custo_km;ml_good_or_bad;recomend_replacement;consensus_count;model_agreement;trend_detected;relationship;performance_reliability;ml_weight_score;description;action_summary;feature_context;target_feature
10;CAMINHONETE;L 200 TRITON SPT GLX;Cruzeiro do Sul;REDE POSTO 7 LTDA;0.88;bad;yes;1;2;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
11;CAMINHAO MEDIO;ATEGO 1719;BARUERI;SOL DIESEL DERIVADOS DE PETROLEO LTDA;1.35;bad;yes;1;2;Inconsistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
12;CAMINHONETE;S10;Arcoverde;L C F COMBUSTIVEIS LTDA;0.68;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
13;CAMINHONETE;RANGER;São Luís;L S COMERCIO E SERVICOS LTDA;0.68;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
14;CAMINHONETE;S10 Pick-Up LS 2.8 TDI 4x4 CD Dies. Mec.;Palmares;POSTO AR COMBUSTÍVEIS LTDA;0.87;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
15;VEÍCULO;DUSTER;CARPINA;EDU PETRO COMBUSTIVEIS LTDA;0.85;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
16;FURGÃO;SPRINTER;Itapetininga;AUTO POSTO MIQUIRA II LTDA;0.94;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
17;VEÍCULO;HILUX;Cabrobó;LIMA E MARQUES LTDA;0.73;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
18;PICKUP;L200 OUTDOOR;Marabá;AUTO POSTO FOLHA 23 LTDA;0.67;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
19;AUTOMOVEL;DUSTER;CARPINA;EDU PETRO COMBUSTIVEIS LTDA;0.79;bad;yes;1;2;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
20;VEÍCULO;FOX;Imbituba;SIM REDE DE POSTOS LTDA;0.47;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
21;CAMINHÃO PESADO;ATEGO 1719;BARUERI;SOL DIESEL DERIVADOS DE PETROLEO LTDA;1.56;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
22;CAMINHONETE;S10;Petrolina;DELTA COMERCIO DE DERIVADOS DE PETROLEO LTDA EPP;1.05;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
23;EQUIPAMENTO;TRAILBLAZER LTZ 2.8 CTDI Diesel Aut.;Recife;Rofera Combustiveis LTDA;1.13;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
24;AUTOMÓVEL;KICKS;CABEDELO;AUTO POSTO DE COMBUSTÍVEIS LTDA;0.53;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
25;VEÍCULO;DUSTER;São José do Belmonte;VERDEJANTE COMERCIAL LTDA;0.99;bad;yes;1;2;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
26;VEÍCULO;HILUX;Garanhuns;ANDRADE GODOY COMBUSTIVEIS LTDA;0.77;bad;yes;1;2;Inconsistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
27;CAMINHONETE;S10 Pick-Up LS 2.8 TDI 4x4 CD Dies. Mec.;Palmares;POSTO AR COMBUSTÍVEIS LTDA;0.92;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
28;CAMINHONETE;HILUX;CABO DE SANTO AGOSTINHO;POSTO SAO CRISTOVAO LTDA;0.72;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
29;ONIBUS;VOLARE W8 ON;Parnaíba;V. MACHADO & CIA LTDA;1.63;bad;yes;0;1;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
30;VEÍCULO;HILUX;Cabrobó;LIMA E MARQUES LTDA;0.67;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
31;CAMINHONETE;S10 Pick-Up LS 2.8 TDI 4x4 CD Dies. Mec.;Garanhuns;ANDRADE GODOY COMBUSTIVEIS LTDA;0.9;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
32;VEÍCULO;HILUX CD L0WM4FD;Abreu e Lima;AUTO POSTO DUQUE DE CAXIAS LTDA;0.54;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
33;PESADO;PARTNER;Patos;MOTOGAS IND DE COMPRES E COM DE GAS NAT LTDA;0.76;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
34;CAMINHÃO;SPRINTER;Rio Branco;POSTO AC 40 COMERCIO DE PETROLEO LTDA;0.89;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
35;AMBULÂNCIA;SPRINTER;Sena Madureira;AUTO POSTO ROSELLAO LTDA;1.18;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
36;TOCO;ACCELO 1016;BARUERI;SOL DIESEL DERIVADOS DE PETROLEO LTDA;0.78;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
37;CAMINHÃO PESADO;ATEGO 2426;BARUERI;SOL DIESEL DERIVADOS DE PETROLEO LTDA;1.35;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
38;PICK UP;STRADA;Sumaré;AUTO POSTO PARQUE ONGARO LTDA;0.5;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
39;AUTOMÓVEL;DUSTER;Petrolina;DELTA COMERCIO DE DERIVADOS DE PETROLEO LTDA EPP;0.74;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
40;AMBULÂNCIA;147 Furgão (todos);Custódia;SAO SEBASTIAO COMERCIO DE COMBUSTIVEIS LTDA;0.55;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
41;CAMINHONETE;S10;Araripina;POSTO PLANALTO LTDA;1.04;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
42;AMBULÂNCIA;MASTER;Brasiléia;AUTO POSTO CAMILA LTDA;1.21;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
43;AMBULÂNCIA;FIORINO;Mossoró;BOM PASTOR COMERCIO DE DERIVADOS DE PETROLEO EIREL;0.64;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
44;VEÍCULO;XRE 300;Recife;POSTO CONCORDE LTDA;0.27;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
45;AUTOMOVEL;MARCOPOLO VOLARE W80N;SANTO AMARO;AGB DERIVADOS DE PETROLEO LTDA;1.2;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
46;AUTOMOVEL;SPIN;Itabuna;FAMA COMERCIO DE COMBUSTIVEIS LTDA;0.55;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
47;VEÍCULO;Apolo GL 1.8;Valença;SOUZA ROSA COMBUSTIVEIS LTDA;0.64;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
48;CAMIONETA USO MISTO;COMPASS;FORTALEZA;COMERCIO VAREJISTA DE PETROLEO II PVEX LTDA;1.22;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
49;VEÍCULO LEVE;PALIO;SALVADOR;VICTORIANO AMOEDO LOPO LTDA;0.51;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
50;VEÍCULO;CG 160 FAN;Fortaleza;KG COMERCIO E COMBUSTÍVEIS LTDA;0.23;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
51;VEÍCULO;VOYAGE;Feira de Santana;POSTO CIS TOMBA LTDA;0.58;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
52;VEÍCULO LEVE;Virtus 1.0 MSI (Flex);Belém;M F RODRIGUES JUNIOR;0.71;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
53;CAMINHONETE;STRADA;Joinville;AUTO POSTO HEMEROCALLIS LTDA;0.46;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
54;AMBULÂNCIA;Ducato Minibus 2.3 ME Diesel;Bezerros;POSTO ROSARINHO LTDA;0.83;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
55;VEÍCULO;DOBLO;Petrolândia;GERALDO SEVERO DOS SANTOS - EPP;0.74;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
56;LEVE;SAVEIRO;Marabá;AUTO POSTO FOLHA 23 LTDA;0.53;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
57;SUV 4X2;DUSTER;Itabirito;AUTO POSTO PONTO FORTE LTDA;0.53;bad;yes;1;2;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
58;VEÍCULO;OROCH;Lauro de Freitas;POSTO BOM SAMARITANO COMERCIO DE DERIVADOS;0.52;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
59;MOTOCICLETA;XRE 300;São Luís;L S COMERCIO E SERVICOS LTDA;0.17;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
60;VEÍCULO;SAVEIRO;Teixeira de Freitas;PETROTRANS TRANSPORTES QUIMICOS E PETROQUIMICOS LTDA;0.5;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
61;AUTOMOVEL;GOL;São Luís;L S COMERCIO E SERVICOS LTDA;0.53;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
62;VEÍCULO;SAVEIRO;SALVADOR;SODIC SOCIEDADE REVENDEDORA DE COMBUSTIVEIS LTDA;0.64;good;yes;1;2;Inconsistent Trend;Clear Relationship;0.67;3;Baixa confiança, mas desempenho confiável e padrão consistente;Revisar substituição devido a problemas moderados de confiabilidade ou consistência.;modelo-cidade-estabelecimento;tipoequipamento
63;CARRO;POLO SEDAN;Arapiraca;IBN PINTO E SILVA & CIA LTDA;0.57;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
64;VEÍCULO;FIORINO;Salvador;J E J COMBUSTIVEIS LTDA;0.79;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
65;AMBULÂNCIA;MASTER;Mossoró;BOM PASTOR COMERCIO DE DERIVADOS DE PETROLEO EIREL;0.84;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
66;VEÍCULO;XRE 300;CABO DE SANTO AGOSTINHO;POSTO SAO CRISTOVAO LTDA;0.23;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
67;MOTOCICLETA;NXR 160 BROS ESDD;SALVADOR;POSTO KALILANDIA LTDA;0.2;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
68;VEÍCULO;DUSTER 1.6 Hi-Flex 16V Mec;Recife;SERVICAR S/A;0.71;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
69;CAMINHÃO;26-280 E Constel. 6x4 2p (diesel)(E5);Rio Bananal;AUTO POSTO SANTA ANA LTDA;3.16;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
70;AUTOMOVEL;Mobi Like;Jaíba;AUTO POSTO VERDE AZUL LTDA;0.54;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
71;PICKUP LEVE;XRE 300/ 300 ABS;SALVADOR;POSTO 29 DE MARCO DERIVADOS DE PETROLEO LTDA;0.5;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
72;CAMINHONETE;STRADA;Joinville;AUTO POSTO HEMEROCALLIS LTDA;0.46;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
73;CAMINHÃO;15-180/ 15-180 E WORKER 2p (diesel);Montanha;SERVICENTRO OLIVEIRA RIOS LTDA;1.42;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
74;VEÍCULO;NXR 160 BROS ESDD;Olinda;POSTO SAO JANUARIO LTDA;0.16;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
75;CAMINHONETE;L200 TRITON;São Luís;POSTO IPASE LTDA;0.75;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
76;VEÍCULO;XRE 300;Arcoverde;L C F COMBUSTIVEIS LTDA;0.24;bad;yes;1;2;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
77;CAMINHONETE;S10;Paulista;VIP POSTOS E SERVIÇOS LTDA;0.82;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
78;PASSEIO;KA;São Luís;LIMA COMERCIAL DE COMBUSTIVEIS LTDA;0.44;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
79;CAMINHONETE;L200 TRITON;São Luís;L S COMERCIO E SERVICOS LTDA;0.7;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
80;MOTOCICLETA;BIZ 125 ES/ ES F.INJ./ES MIX F.INJECTION;João Pessoa;POSTO ALTERNATIVA DE COMBUSTIVEL E SERVICO LTDA;0.22;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
81;PICKUP LEVE;SPIN 1.8 L AT PREMIER;Salvador;BRAGA POSTOS E SERVICOS LTDA;0.62;bad;yes;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
82;LEVE;GOL;Rio Branco;A & S DERIVADO DE PETROLEO EIRELI;0.76;bad;yes;1;2;Inconsistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
83;AUTOMÓVEL;MOBI;Guarulhos;AUTO POSTO D6 LTDA;0.63;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
84;AUTOMOVEL;GOL 1.6 MB5;São Luís;L S COMERCIO E SERVICOS LTDA;0.52;bad;yes;1;2;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;modelo-cidade-estabelecimento;tipoequipamento
85;AUTOMOVEL;UNO;Paço do Lumiar;L S COMERCIO E SERVICOS LTDA;0.51;good;no;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;modelo-cidade-estabelecimento;tipoequipamento
