;nota_fiscal_id;status;nome_serv;valor;consensus_count;model_agreement;trend_detected;relationship;performance_reliability;ml_weight_score;description;action_summary;feature_context;target_feature
160;303438.0;VALIDO;Gasolina;200.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
161;61719.0;VALIDO;Diesel;196.9;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;status-nome_serv;nota_fiscal_id
174;136539.0;VALIDO;Diesel S10;233.03;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
175;156441.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
176;156449.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
177;156480.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
178;156483.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
179;156504.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
180;156524.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
181;156543.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
182;156557.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
183;156624.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
184;156584.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
185;156638.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
186;156620.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
197;61719.0;VALIDO;Diesel;160.81;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;status-nome_serv;nota_fiscal_id
198;61719.0;VALIDO;Diesel;219.28;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;status-nome_serv;nota_fiscal_id
214;131840.0;VALIDO;Gasolina;98.8;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
215;131852.0;VALIDO;Gasolina;123.5;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
216;131856.0;VALIDO;Gasolina;109.67;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
229;156600.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
230;156580.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
231;156554.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
232;156534.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
233;156518.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
234;156511.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
235;156496.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
236;156476.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
238;156423.0;VALIDO;Lavagem;250.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
240;148104.0;VALIDO;Gasolina;214.39;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
250;136534.0;VALIDO;Diesel S10;221.02;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
253;131859.0;VALIDO;Gasolina;196.07;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
260;131861.0;VALIDO;Gasolina;197.6;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
267;147552.0;VALIDO;Gasolina;226.1;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
272;131844.0;VALIDO;Gasolina;98.8;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
276;131834.0;VALIDO;Gasolina;198.34;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
279;131822.0;VALIDO;Gasolina;217.56;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
284;129003.0;VALIDO;Gasolina;74.54;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
289;129003.0;VALIDO;Gasolina;74.64;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
296;118890.0;VALIDO;Gasolina;100.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
315;109897.0;VALIDO;Gasolina;204.26;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
320;133663.0;VALIDO;Gasolina;105.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
321;131858.0;VALIDO;Gasolina;203.03;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
322;129003.0;VALIDO;Gasolina;72.03;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
326;190185.0;VALIDO;Gasolina;180.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
327;185225.0;VALIDO;Diesel;198.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
328;133661.0;VALIDO;Gasolina;105.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
332;129003.0;VALIDO;Gasolina;177.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
338;129003.0;VALIDO;Gasolina;96.43;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
342;131795.0;VALIDO;Diesel S10;104.7;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
344;129968.0;VALIDO;Gasolina;197.6;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
347;129003.0;VALIDO;Gasolina;80.87;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
349;190016.0;VALIDO;Gasolina;245.98;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
353;118890.0;VALIDO;Gasolina;92.03;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
381;61719.0;VALIDO;Diesel;202.82;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;status-nome_serv;nota_fiscal_id
395;521838.0;VALIDO;Diesel;224.66;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
396;61719.0;VALIDO;Diesel;148.09;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;status-nome_serv;nota_fiscal_id
403;59251.0;VALIDO;Diesel;175.48;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
405;59251.0;VALIDO;Diesel;88.48;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
406;61719.0;VALIDO;Diesel;138.76;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;status-nome_serv;nota_fiscal_id
407;61719.0;VALIDO;Diesel;193.65;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;status-nome_serv;nota_fiscal_id
438;217828.0;VALIDO;Gasolina;77.98;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
444;217851.0;VALIDO;Gasolina;229.12;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
446;52098.0;VALIDO;Gasolina;243.64;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
447;61719.0;VALIDO;Diesel;154.28;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;status-nome_serv;nota_fiscal_id
450;59251.0;VALIDO;Diesel;210.22;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
451;59251.0;VALIDO;Diesel;132.44;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
452;61719.0;VALIDO;Diesel;145.8;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;status-nome_serv;nota_fiscal_id
453;61719.0;VALIDO;Diesel;264.49;3;3;Consistent Trend;Clear Relationship;1.0;5;Alta confiança com confiabilidade elevada e padrão consistente;Alta previsibilidade: continuar com a abordagem atual.;status-nome_serv;nota_fiscal_id
461;222032.0;VALIDO;Gasolina;155.97;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
498;52098.0;VALIDO;Etanol;108.8;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
502;50843.0;VALIDO;Diesel;241.08;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
535;241298.0;VALIDO;Gasolina;259.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
537;50843.0;VALIDO;Diesel S10;236.64;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
544;45156.0;VALIDO;Diesel;230.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
567;38539.0;VALIDO;Etanol;95.48;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
569;36295.0;VALIDO;Etanol;152.68;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
578;43932.0;VALIDO;Diesel;242.4;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
614;41077.0;VALIDO;Diesel;209.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
638;42761.0;VALIDO;Etanol;100.08;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
639;250517.0;VALIDO;Gasolina;168.03;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
652;34247.0;VALIDO;Etanol;179.5;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
655;33583.0;VALIDO;Etanol;137.96;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
658;35391.0;VALIDO;Diesel;143.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
687;32207.0;VALIDO;Diesel;782.26;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
706;30571.0;VALIDO;Diesel;157.7;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
717;29579.0;VALIDO;Etanol;156.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
740;259290.0;VALIDO;Gasolina;165.87;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
746;30571.0;VALIDO;Diesel;152.74;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
786;57936.0;VALIDO;Etanol;74.24;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
787;57937.0;VALIDO;GNV;44.04;1;2;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
788;57937.0;VALIDO;GNV;35.31;1;2;Inconsistent Trend;Clear Relationship;0.33;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
792;57936.0;VALIDO;Etanol;18.11;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
795;38577.0;VALIDO;Etanol;168.69;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
801;34249.0;VALIDO;Etanol;135.7;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
803;35391.0;VALIDO;Diesel;234.0;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
844;267862.0;VALIDO;Diesel S10;213.4;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
858;267906.0;VALIDO;Gasolina;245.16;3;3;Consistent Trend;Potential Anomaly;0.0;-5;Anomalia potencial com padrões inconsistentes;Sugerir substituição imediata devido a problemas críticos na confiabilidade e anomalias.;status-nome_serv;nota_fiscal_id
